[2026-02-22T19:30:03.706+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-22T19:30:03.741+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:29:00+00:00 [queued]>
[2026-02-22T19:30:03.751+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:29:00+00:00 [queued]>
[2026-02-22T19:30:03.753+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-22T19:30:03.770+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-22 19:29:00+00:00
[2026-02-22T19:30:03.781+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-02-22T19:29:00+00:00', '--job-id', '1280', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpvjn4husa']
[2026-02-22T19:30:03.785+0000] {standard_task_runner.py:91} INFO - Job 1280: Subtask download_minio
[2026-02-22T19:30:03.785+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=26915) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-22T19:30:03.786+0000] {standard_task_runner.py:64} INFO - Started process 26927 to run task
[2026-02-22T19:30:03.868+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:29:00+00:00 [running]> on host f2d9c9e2564d
[2026-02-22T19:30:03.988+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-22T19:29:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-22T19:29:00+00:00'
[2026-02-22T19:30:03.990+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-22T19:30:04.427+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918105812.parquet -> /tmp/minio_downloads/customers_234918105812.parquet
