[2026-02-22T19:33:04.829+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-22T19:33:04.862+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:32:00+00:00 [queued]>
[2026-02-22T19:33:04.871+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:32:00+00:00 [queued]>
[2026-02-22T19:33:04.874+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-22T19:33:04.889+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-22 19:32:00+00:00
[2026-02-22T19:33:04.899+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-02-22T19:32:00+00:00', '--job-id', '1286', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmposj5_6_q']
[2026-02-22T19:33:04.903+0000] {standard_task_runner.py:91} INFO - Job 1286: Subtask download_minio
[2026-02-22T19:33:04.903+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=28479) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-22T19:33:04.904+0000] {standard_task_runner.py:64} INFO - Started process 28491 to run task
[2026-02-22T19:33:04.989+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-02-22T19:32:00+00:00 [running]> on host f2d9c9e2564d
[2026-02-22T19:33:05.108+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-22T19:32:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-22T19:32:00+00:00'
[2026-02-22T19:33:05.110+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-22T19:33:05.584+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918105812.parquet -> /tmp/minio_downloads/customers_234918105812.parquet
[2026-02-22T19:33:05.605+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918437151.parquet -> /tmp/minio_downloads/customers_234918437151.parquet
[2026-02-22T19:33:05.625+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918561960.parquet -> /tmp/minio_downloads/customers_234918561960.parquet
[2026-02-22T19:33:05.644+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918669711.parquet -> /tmp/minio_downloads/customers_234918669711.parquet
[2026-02-22T19:33:05.662+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918803581.parquet -> /tmp/minio_downloads/customers_234918803581.parquet
[2026-02-22T19:33:05.680+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234918923394.parquet -> /tmp/minio_downloads/customers_234918923394.parquet
[2026-02-22T19:33:05.699+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234919120182.parquet -> /tmp/minio_downloads/customers_234919120182.parquet
[2026-02-22T19:33:05.717+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234921665207.parquet -> /tmp/minio_downloads/customers_234921665207.parquet
[2026-02-22T19:33:05.737+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234921758110.parquet -> /tmp/minio_downloads/customers_234921758110.parquet
[2026-02-22T19:33:05.754+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234921847149.parquet -> /tmp/minio_downloads/customers_234921847149.parquet
[2026-02-22T19:33:05.774+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234921926178.parquet -> /tmp/minio_downloads/customers_234921926178.parquet
[2026-02-22T19:33:05.792+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922007518.parquet -> /tmp/minio_downloads/customers_234922007518.parquet
[2026-02-22T19:33:05.810+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922078160.parquet -> /tmp/minio_downloads/customers_234922078160.parquet
[2026-02-22T19:33:05.829+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922162590.parquet -> /tmp/minio_downloads/customers_234922162590.parquet
[2026-02-22T19:33:05.848+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922744865.parquet -> /tmp/minio_downloads/customers_234922744865.parquet
[2026-02-22T19:33:05.866+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922834985.parquet -> /tmp/minio_downloads/customers_234922834985.parquet
[2026-02-22T19:33:05.884+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234922932607.parquet -> /tmp/minio_downloads/customers_234922932607.parquet
[2026-02-22T19:33:05.903+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234923025974.parquet -> /tmp/minio_downloads/customers_234923025974.parquet
[2026-02-22T19:33:05.920+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234923111005.parquet -> /tmp/minio_downloads/customers_234923111005.parquet
[2026-02-22T19:33:05.937+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-20/customers_234923205643.parquet -> /tmp/minio_downloads/customers_234923205643.parquet
[2026-02-22T19:33:06.126+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234919229379.parquet -> /tmp/minio_downloads/accounts_234919229379.parquet
[2026-02-22T19:33:06.144+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234919339290.parquet -> /tmp/minio_downloads/accounts_234919339290.parquet
[2026-02-22T19:33:06.162+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234920053429.parquet -> /tmp/minio_downloads/accounts_234920053429.parquet
[2026-02-22T19:33:06.180+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234920162262.parquet -> /tmp/minio_downloads/accounts_234920162262.parquet
[2026-02-22T19:33:06.199+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234920297803.parquet -> /tmp/minio_downloads/accounts_234920297803.parquet
[2026-02-22T19:33:06.217+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234920394646.parquet -> /tmp/minio_downloads/accounts_234920394646.parquet
[2026-02-22T19:33:06.235+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234923335866.parquet -> /tmp/minio_downloads/accounts_234923335866.parquet
[2026-02-22T19:33:06.255+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234923452458.parquet -> /tmp/minio_downloads/accounts_234923452458.parquet
[2026-02-22T19:33:06.273+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234923816025.parquet -> /tmp/minio_downloads/accounts_234923816025.parquet
[2026-02-22T19:33:06.290+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234923976275.parquet -> /tmp/minio_downloads/accounts_234923976275.parquet
[2026-02-22T19:33:06.306+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234924694842.parquet -> /tmp/minio_downloads/accounts_234924694842.parquet
[2026-02-22T19:33:06.325+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234924793702.parquet -> /tmp/minio_downloads/accounts_234924793702.parquet
[2026-02-22T19:33:06.343+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234924894453.parquet -> /tmp/minio_downloads/accounts_234924894453.parquet
[2026-02-22T19:33:06.362+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234926222060.parquet -> /tmp/minio_downloads/accounts_234926222060.parquet
[2026-02-22T19:33:06.379+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234926321807.parquet -> /tmp/minio_downloads/accounts_234926321807.parquet
[2026-02-22T19:33:06.395+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234926416924.parquet -> /tmp/minio_downloads/accounts_234926416924.parquet
[2026-02-22T19:33:06.413+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-20/accounts_234926499851.parquet -> /tmp/minio_downloads/accounts_234926499851.parquet
